Date,CO2 - PPM,CO - PPM,CH4 - PPM,Dust Particles (PM2.5),Wind S,Wind D
1990-11-14,317.04,324,319.52,14,31.253,106.424
1990-11-15,312.8,321,324.44,20,35.997,332.906
1990-11-16,322.16,325,312.96,42,28.873,305.918
1990-11-17,312.38,327,318.29,5,0.585,327.583
1990-11-18,317.01,319,319.93,38,12.5,325.089
1990-11-19,315.39,322,324.03,3,35.049,320.991
1990-11-20,313.41,322,317.47,54,34.002,314.933
1990-11-21,320.67,327,316.65,59,28.204,147.384
1990-11-22,313.03,317,313.37,5,8.518,197.522
1990-11-23,318.8,327,316.24,20,10.503,134.422
1990-11-24,314.98,323,318.29,41,44.944,145.885
1990-11-25,312.46,323,319.93,44,18.173,295.821
1990-11-26,316.6,321,319.11,59,19.458,313.604
1990-11-27,316.26,322,312,62,31.625,190.989
1990-11-28,317.57,322,323.62,24,4.712,328.901
1990-11-29,312.56,320,314.19,44,50.198,245.372
1990-11-30,317.98,326,312.96,21,15.718,158.901
1990-12-01,321.05,318,319.11,34,11.691,186.814
1990-12-02,313.99,318,321.57,41,27.971,332.906
1990-12-03,319.11,318,324.44,28,17.162,128.478
1990-12-04,319.43,319,323.62,63,9.204,304.598
1990-12-05,321.51,329,324.03,5,34.793,59.073
1990-12-06,320.71,329,322.8,55,44.944,95.356
1990-12-07,316.14,324,315.83,69,9.312,197.522
1990-12-08,314.11,325,322.8,27,11.851,33.558
1990-12-09,317.56,317,312,49,28.052,166.094
1990-12-10,319.81,324,313.37,33,20.691,131.466
1990-12-11,317.86,329,322.8,53,11.851,143.827
1990-12-12,318.39,323,315.42,32,1.58,315.09
1990-12-13,315.04,329,324.85,5,31.342,146.466
1990-12-14,319.6,326,321.57,52,30.752,312.252
1990-12-15,317.63,318,321.16,20,12.43,124.751
1990-12-16,321.17,323,317.06,9,39.216,135.038
1990-12-17,314.82,325,315.01,68,2.094,136.824
1990-12-18,322.43,325,312.96,44,5.76,131.733
1990-12-19,320.54,323,324.03,67,24.478,301.366
1990-12-20,321.55,317,315.83,56,15.718,116.976
1990-12-21,320.28,328,321.57,7,25.436,147.384
1990-12-22,313.87,317,315.42,65,23.635,311.488
1990-12-23,320.16,322,314.6,54,35.352,304.322
1990-12-24,314.93,319,318.7,66,39.663,272.812
1990-12-25,317.43,325,325.26,14,18.62,299.635
1990-12-26,320.3,324,316.65,45,0.897,54.639
1990-12-27,321.61,325,320.75,32,37.59,19.103
1990-12-28,315.74,324,311,35,12.266,144.939
1990-12-29,316,323,311,63,7.874,333.741
1990-12-30,315.48,320,320.34,49,17.163,327.104
1990-12-31,318.97,319,314.6,31,25.502,299.635
1991-01-01,314.84,322,322.39,1,16.265,302.841
1991-01-02,319.32,323,324.03,48,42.058,278.969
1991-01-03,312.32,317,321.57,58,19.714,294.319
1991-01-04,317.74,321,316.65,27,3.617,131.733
1991-01-05,312.69,326,314.19,5,21.557,309.396
1991-01-06,320.06,322,321.16,58,50.029,125.017
1991-01-07,312.82,321,317.88,68,48.836,134.422
1991-01-08,319.98,327,312.55,41,0.897,90.193
1991-01-09,317.89,326,321.16,58,12.423,236.046
1991-01-10,322.14,321,315.42,36,16.958,133.278
1991-01-11,316.14,324,311,27,12.423,111.89
1991-01-12,322.16,325,317.47,53,31.897,329.367
1991-01-13,313.56,322,312.55,60,10.415,138.986
1991-01-14,312.99,320,317.88,52,44.582,346.193
1991-01-15,322.21,320,325.26,52,31.897,12.89
1991-01-16,314.78,328,323.62,68,17.184,101.722
1991-01-17,313.65,319,318.29,2,23.44,294.776
1991-01-18,315.69,320,321.16,57,7.446,301.71
1991-01-19,314.56,323,314.6,1,9.261,107.721
1991-01-20,313.81,326,312.05,14,9.312,316.893
1991-01-21,321.42,324,321.16,67,39.848,127.113
1991-01-22,319.24,321,320.34,56,31.253,132.92
1991-01-23,317.96,324,323.62,15,1.606,304.48
1991-01-24,322.63,320,324.03,42,2.094,304.598
1991-01-25,317.75,319,320.75,11,43.63,141.155
1991-01-26,319.52,318,321.16,19,3.703,298.962
1991-01-27,318.98,322,319.52,69,1.606,120.316
1991-01-28,314.26,328,324.44,39,6.096,123.936
1991-01-29,320.22,322,312,18,5.416,136.422
1991-01-30,319.2,325,314.6,41,37.79,262.075
1991-01-31,315.04,327,320.75,34,25.879,108.477
1991-02-01,316.18,320,321.57,27,38.19,118.13
1991-02-02,321.28,317,319.93,13,19.305,131.466
1991-02-03,313.55,323,311.05,1,24.644,303.454
1991-02-04,312.79,324,324.85,8,16.641,278.749
1991-02-05,313.27,322,317.47,27,26.81,303.94
1991-02-06,317.47,319,314.19,24,19.179,99.286
1991-02-07,315.24,325,311.05,29,22.009,344.704
1991-02-08,315.15,326,317.47,26,31.897,136.778
1991-02-09,319.57,329,325.26,9,3.148,124.751
1991-02-10,315.92,322,316.65,40,8.067,339.183
1991-02-11,312.73,329,317.47,8,44.289,267.548
1991-02-12,313.75,328,313.78,24,27.704,331.643
1991-02-13,316.4,321,319.11,41,30.876,324.355
1991-02-14,322.43,321,314.6,23,26.471,107.721
1991-02-15,314.36,326,312,69,17.413,302.841
1991-02-16,320.09,317,312.55,21,6.905,150.879
1991-02-17,315.34,328,319.52,41,10.704,327.628
1991-02-18,317.12,321,324.85,49,12.079,327.664
1991-02-19,313.88,325,320.75,65,39.507,319.317
1991-02-20,313.45,324,320.75,22,2.834,303.028
1991-02-21,321.28,323,322.8,65,20.733,190.989
1991-02-22,322.83,323,316.65,55,24.863,132.285
1991-02-23,320.89,322,323.62,25,30.824,306.692
1991-02-24,321.64,328,322.8,10,50.162,133.228
1991-02-25,315.34,327,316.24,33,10.733,349.294
1991-02-26,314.55,318,318.29,20,26.269,311.197
1991-02-27,314.61,321,313.37,29,29.988,116.784
1991-02-28,322.84,320,321.98,31,16.639,132.651
1991-03-01,317.85,326,315.83,67,41.613,143.462
1991-03-02,313.04,317,321.57,5,15.294,329.367
1991-03-03,313.47,322,311.05,26,49.983,299.633
1991-03-04,315.5,321,320.34,20,36.237,307.56
1991-03-05,319.2,326,317.06,18,16.963,329.409
1991-03-06,321.68,327,319.93,68,48.869,311.586
1991-03-07,320.16,318,314.19,42,37.79,311.197
1991-03-08,321.92,320,311.05,25,40.785,299.633
1991-03-09,312.98,327,313.37,65,27.37,124.992
1991-03-10,320.93,327,324.03,40,40.698,150.575
1991-03-11,319.28,320,323.21,37,8.169,183.558
1991-03-12,318.8,326,316.65,13,21.123,143.462
1991-03-13,319.33,323,316.24,45,23.635,341.016
1991-03-14,314.71,328,319.93,29,28.862,135.467
1991-03-15,316.12,319,312.55,63,31.148,58.957
1991-03-16,317.33,321,315.42,57,37.567,298.133
1991-03-17,313.85,329,317.88,40,12.136,306.064
1991-03-18,316.15,328,320.34,67,41.862,33.135
1991-03-19,312.38,320,317.47,6,9.23,26.091
1991-03-20,318.23,319,323.62,49,14.746,144.069
1991-03-21,319.19,329,317.47,46,24.457,166.094
1991-03-22,317.26,327,322.39,5,13.022,114.295
1991-03-23,319.73,329,317.88,17,9.06,129.903
1991-03-24,320.02,325,317.47,4,25.079,53.33
1991-03-25,315.07,324,321.98,14,31.897,142.681
1991-03-26,317.71,327,320.34,26,46.911,329.409
1991-03-27,315.5,318,312.05,19,35.997,126.988
1991-03-28,316.07,329,317.47,51,35.325,303.028
1991-03-29,318.68,320,317.47,55,0.907,135.744
1991-03-30,318.74,326,320.75,63,30.371,42.213
1991-03-31,313.9,327,321.98,41,0.278,135.857
1991-04-01,313.5,327,314.6,61,9.221,108.289
1991-04-02,317.97,329,325.26,61,33.253,299.633
1991-04-03,322.36,318,324.44,48,21.267,123.502
1991-04-04,317.42,321,321.16,33,21.768,8.84
1991-04-05,316.83,322,313.78,20,6.963,181.57
1991-04-06,315.41,318,312.55,28,33.241,123.107
1991-04-07,314.33,324,312.96,1,12.302,281.927
1991-04-08,318.56,320,322.8,17,24.782,109.901
1991-04-09,317.5,322,321.57,7,37.101,123.936
1991-04-10,312.73,327,321.98,48,15.376,127.391
1991-04-11,312.71,328,312.55,43,23.635,302.841
1991-04-12,317.66,326,313.78,27,19.59,129.612
1991-04-13,312.55,324,323.62,57,11,39.626
1991-04-14,315.92,319,313.78,5,28.692,311.197
1991-04-15,320.29,319,323.62,57,1.606,130.41
1991-04-16,312.56,320,323.21,15,47.1,311.087
1991-04-17,318.93,324,315.42,10,30.968,33.135
1991-04-18,318.5,324,314.6,22,15.376,48.555
1991-04-19,317.41,325,316.65,59,33.684,74.012
1991-04-20,316.51,325,321.98,27,50.162,150.024
1991-04-21,315.54,322,312.55,11,39.057,301.71
1991-04-22,321.32,322,311.05,41,8.169,124.908
1991-04-23,315,327,315.83,35,9.312,108.088
1991-04-24,317.04,326,314.19,61,24.478,25.337
1991-04-25,320.82,320,320.34,36,14.808,278.969
1991-04-26,317.85,327,313.78,8,39.224,319.141
1991-04-27,312.59,319,313.37,22,11.851,302.837
1991-04-28,320.31,326,321.57,10,21.656,309.396
1991-04-29,321.87,320,312.55,34,46.911,129.903
1991-04-30,316.19,329,311.05,14,21.768,181.57
1991-05-01,321.39,323,320.75,42,15.497,132.535
1991-05-02,318.97,325,325.26,63,40.061,95.356
1991-05-03,314.37,321,312,36,13.566,305.216
1991-05-04,321.15,318,312.96,59,16.641,285.863
1991-05-05,318.46,318,317.47,23,27.554,141.155
1991-05-06,317.59,325,319.93,34,50.732,316.193
1991-05-07,320.42,318,312.96,32,11,148.998
1991-05-08,313.86,328,311.05,34,2.98,338.049
1991-05-09,316.09,327,320.75,50,28.052,245.372
1991-05-10,317.44,321,322.8,36,11,142.288
1991-05-11,312.83,328,313.37,23,4.537,132.941
1991-05-12,318.23,318,321.16,61,7.11,104.897
1991-05-13,313.42,327,319.52,37,20.515,90.193
1991-05-14,320,323,317.88,66,24.435,93.046
1991-05-15,320.22,325,319.52,5,41.23,302.841
1991-05-16,321.17,321,324.03,1,28.585,309.396
1991-05-17,321.91,320,319.11,33,9.136,327.664
1991-05-18,313.98,322,317.06,48,12.16,19.103
1991-05-19,316.06,322,319.93,32,24.863,141.812
1991-05-20,322.05,321,316.24,70,11.691,59.073
1991-05-21,312.6,329,312.55,45,17.162,271.088
1991-05-22,316.93,317,314.19,56,24.235,308.845
1991-05-23,320.31,326,312,58,4.712,281.927
1991-05-24,318.6,318,317.06,33,16.641,237.436
1991-05-25,319.5,318,311.05,53,1.601,311.694
1991-05-26,312.92,322,315.01,34,19.097,325.089
1991-05-27,318.48,324,322.8,56,48.836,149.562
1991-05-28,319.32,320,314.19,32,28.873,135.038
1991-05-29,319.13,325,319.93,53,29.988,144.939
1991-05-30,318.97,319,313.78,44,39.298,249.792
1991-05-31,312.57,326,318.29,5,27.07,124.075
1991-06-01,317.63,317,322.8,15,9.23,145.885
1991-06-02,316.22,320,311,13,2.857,298.962
1991-06-03,322.07,320,314.19,24,5.923,121.924
1991-06-04,313.97,323,315.42,56,14.808,237.436
1991-06-05,318.51,327,318.29,36,3.148,136.422
1991-06-06,315.31,319,321.98,22,6.905,123.936
1991-06-07,318.48,320,312.96,38,24.644,111.89
1991-06-08,316.15,318,322.8,38,43.861,300.515
1991-06-09,312.92,324,316.65,61,14.927,135.857
1991-06-10,320.37,323,322.39,24,1.2,119.332
1991-06-11,313.71,320,317.88,5,19.619,327.678
1991-06-12,314.87,326,324.44,69,17.572,127.135
1991-06-13,319.2,324,322.8,69,11.259,329.754
1991-06-14,317.4,326,317.47,26,35.126,150.802
1991-06-15,322.33,323,319.11,17,36.992,123.707
1991-06-16,322.17,318,319.52,18,27.965,299.498
1991-06-17,320.65,324,316.24,62,40.686,92.176
1991-06-18,319.19,317,319.11,48,10.733,315.794
1991-06-19,322.52,318,321.16,43,34.396,141.642
1991-06-20,322.36,318,316.65,43,1.038,291.145
1991-06-21,319.59,319,312.05,19,13.312,262.075
1991-06-22,322.2,329,324.44,17,15.509,144.035
1991-06-23,318.31,319,313.37,55,25.683,141.901
1991-06-24,314.03,327,312.05,67,2.98,47.589
1991-06-25,321.53,325,316.65,69,12.302,138.074
1991-06-26,322.61,319,316.24,39,1.27,109.901
1991-06-27,322.36,326,313.37,40,4.935,219.766
1991-06-28,320.6,324,319.52,11,9.23,328.901
1991-06-29,312.84,324,312.96,8,27.908,138.319
1991-06-30,313.09,323,318.7,29,30.876,314.128
1991-07-01,320.54,323,317.06,32,50.333,131.733
1991-07-02,312.6,325,314.6,17,40.605,183.558
1991-07-03,320.81,325,321.98,59,1.038,127.982
1991-07-04,316.1,328,321.16,31,17.413,322.831
1991-07-05,316.22,323,319.11,69,20.585,302.837
1991-07-06,314.87,321,317.06,57,22.969,325.089
1991-07-07,319.2,325,314.19,48,44.582,141.155
1991-07-08,318.93,320,319.93,10,27.704,39.626
1991-07-09,321.09,320,311.05,55,30.23,325.089
1991-07-10,313.87,324,320.75,57,8.067,347.566
1991-07-11,319.68,320,317.47,51,12.16,127.202
1991-07-12,314.87,317,316.65,38,9.665,142.288
1991-07-13,317.93,321,324.44,19,44.516,158.901
1991-07-14,320.37,318,317.88,34,13.546,122.761
1991-07-15,319.69,327,317.06,1,41.613,152.697
1991-07-16,318.71,327,317.06,24,29.603,308.513
1991-07-17,312.95,329,319.52,70,9.312,136.422
1991-07-18,319.94,322,316.65,28,25.533,144.069
1991-07-19,319.6,319,316.24,28,40.605,131.575
1991-07-20,316.33,324,313.37,9,25.079,298.061
1991-07-21,312.46,320,323.62,62,8.406,112.231
1991-07-22,312.71,329,320.34,8,15.889,278.834
1991-07-23,312.41,322,314.19,36,48.869,114.295
1991-07-24,322.16,323,313.78,47,18.684,292.356
1991-07-25,313.56,319,312.05,21,38,143.827
1991-07-26,315.03,317,317.06,63,3.746,127.113
1991-07-27,320.13,329,315.01,3,16.265,131.389
1991-07-28,321.11,322,323.62,15,30.151,190.989
1991-07-29,320.56,320,319.93,38,13.546,255.21
1991-07-30,316.53,324,315.42,15,31.77,136.778
1991-07-31,312.34,318,312.05,66,12.43,134.636
1991-08-01,313.16,317,315.83,35,42.058,123.818
1991-08-02,322.78,317,312.05,12,20.691,130.861
1991-08-03,314.79,325,315.83,45,43.861,126.7
1991-08-04,315.78,320,321.57,42,28.692,123.707
1991-08-05,321.53,326,314.6,48,23.517,127.391
1991-08-06,312.94,317,316.24,62,11.989,130.861
1991-08-07,319.51,324,322.39,20,15.509,300.403
1991-08-08,318.45,320,317.88,13,21.768,133.228
1991-08-09,314.13,317,315.01,22,44.944,149.562
1991-08-10,320.56,329,325.26,53,10.361,298.962
1991-08-11,321.55,318,312.05,7,9.312,111.088
1991-08-12,312.46,322,318.29,38,48.836,234.365
1991-08-13,322.64,322,320.75,53,25.454,292.356
1991-08-14,320.52,317,316.65,46,31.77,59.073
1991-08-15,316.21,324,312.96,36,28.873,123.965
1991-08-16,318.97,322,314.6,11,8.711,166.094
1991-08-17,321.41,325,312.96,33,22.009,136.962
1991-08-18,317,323,312.05,16,5.199,301.289
1991-08-19,315.08,321,315.83,9,17.413,309.166
1991-08-20,312.53,326,315.83,61,16.66,116.345
1991-08-21,320.23,324,315.01,29,23.517,282.976
1991-08-22,315.75,327,324.44,62,1.58,127.338
1991-08-23,316.2,326,320.75,41,44.236,243.245
1991-08-24,322.84,319,312.96,50,6.905,40.587
1991-08-25,320,328,324.03,18,7.11,108.088
1991-08-26,321.51,326,318.29,30,28.862,304.322
1991-08-27,314.72,326,318.7,13,39.057,327.583
1991-08-28,314.03,323,311,13,11.779,126.681
1991-08-29,316.5,329,313.37,8,9.312,116.784
